time[s],thrust[N]
0.1498,505.7131093
0.15,505.5675277
0.1502,505.5675277
0.1504,506.2954357
0.1506,506.9505529
0.1508,506.8777621
0.151,506.6593897
0.1512,506.8049713
0.1514,506.5138081
0.1516,506.5138081
0.1518,505.9314817
0.152,505.9314817
0.1522,505.3491553
0.1524,505.1307829
0.1526,504.8396197
0.1528,504.8396197
0.153,504.4028749
0.1532,503.9661301
0.1534,503.6749669
0.1536,503.6021761
0.1538,503.6749669
0.154,503.2382221
0.1542,503.6749669
0.1544,503.8205485
0.1546,504.0389209
0.1548,504.2572933
0.155,504.7668289
0.1552,504.7668289
0.1554,505.0579921
0.1556,505.1307829
0.1558,505.3491553
0.156,505.4947369
0.1562,505.7131093
0.1564,505.7859001
0.1566,506.4410173
0.1568,506.9505529
0.157,507.1689253
0.1572,507.3145069
0.1574,507.3145069
0.1576,507.3145069
0.1578,506.7321805
0.158,506.8049713
0.1582,506.6593897
0.1584,506.2226449
0.1586,505.9314817
0.1588,505.2763645
0.159,505.1307829
0.1592,504.8396197
0.1594,504.1845025
0.1596,503.6021761
0.1598,503.1654313
0.16,502.2919417
0.1602,501.3456613
0.1604,500.763335
0.1606,500.5449626
0.1608,500.6905442
0.161,501.2000797
0.1612,501.7824061
0.1614,503.0926405
0.1616,503.7477577
0.1618,504.9124105
0.162,505.7859001
0.1622,506.6593897
0.1624,507.3145069
0.1626,507.6784609
0.1628,508.1879965
0.163,508.3335781
0.1632,508.5519505
0.1634,508.7703229
0.1636,508.9886952
0.1638,508.9886952
0.164,508.6975321
0.1642,508.4791597
0.1644,508.1879965
0.1646,507.7512517
0.1648,507.1689253
0.165,506.8049713
0.1652,506.2226449
0.1654,505.7859001
0.1656,504.9852013
0.1658,504.4028749
0.166,503.8933393
0.1662,503.8933393
0.1664,503.6749669
0.1666,503.3110129
0.1668,503.8205485
0.167,503.3838037
0.1672,503.3110129
0.1674,503.7477577
0.1676,504.2572933
0.1678,504.5484565
0.168,505.2763645
0.1682,505.5675277
0.1684,505.7859001
0.1686,506.5865989
0.1688,506.9505529
0.169,507.6056701
0.1692,508.1152057
0.1694,508.8431137
0.1696,509.42544
0.1698,510.0077664
0.17,509.7166032
0.1702,509.4982308
0.1704,509.6438124
0.1706,509.42544
0.1708,508.9159044
0.171,508.3335781
0.1712,507.3872977
0.1714,506.8049713
0.1716,505.7131093
0.1718,505.4219461
0.172,504.5484565
0.1722,503.6749669
0.1724,502.8014773
0.1726,502.2191509
0.1728,501.6368245
0.173,501.0544981
0.1732,500.6905442
0.1734,500.8361257
0.1736,501.1272889
0.1738,501.4912429
0.174,501.9279877
0.1742,502.5103141
0.1744,503.3110129
0.1746,504.3300841
0.1748,505.4219461
0.175,506.0042725
0.1752,506.5138081
0.1754,507.0233437
0.1756,507.3872977
0.1758,508.4063689
0.176,508.9886952
0.1762,509.2070676
0.1764,509.3526492
0.1766,509.9349756
0.1768,510.5900928
0.177,510.2989296
0.1772,510.0805572
0.1774,509.4982308
0.1776,508.9886952
0.1778,508.4063689
0.178,507.8968333
0.1782,507.0961345
0.1784,505.7131093
0.1786,504.6940381
0.1788,503.8933393
0.179,502.8014773
0.1792,502.0735693
0.1794,500.763335
0.1796,499.5986822
0.1798,498.8707742
0.18,498.5068202
0.1802,498.3612386
0.1804,498.3612386
0.1806,498.3612386
0.1808,498.8707742
0.181,499.8898454
0.1812,500.6177534
0.1814,501.8551969
0.1816,502.3647325
0.1818,503.6749669
0.182,504.6940381
0.1822,505.7131093
0.1824,506.6593897
0.1826,507.1689253
0.1828,507.8968333
0.183,508.4063689
0.1832,508.9886952
0.1834,509.2070676
0.1836,509.2070676
0.1838,508.9886952
0.184,508.1879965
0.1842,508.2607873
0.1844,507.3145069
